sep=,
 ,acid,atom,baby,ball,band,bear,bell,bike,bird,boat,body,bomb,bone,book,bush,card,cash,chat,city,coat,coin,cold,crab,data,deck,deer,disc,door,draw,drum,face,fire,fish,flag,foot,fort,frog,game,gate,gear,girl,goat,gold,golf,hair,hand,head,hero,hill,holy,idea,iron,jump,king,leaf,lime,lion,lock,love,luck,mail,meat,milk,moon,nest,nose,ogre,park,peak,pill,pipe,plug,pond,pony,pool,quiz,rail,rain,ring,road,rock,rose,sand,seal,ship,shoe,snow,sock,song,star,tank,time,tree,vase,wall,warm,wave,well,wind,wolf,wood,xray,yarn,zero,
king, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4 : ling-lang-lane-lean,2 : ling-line,2 : ling-linn,3 : ling-link-lick,3 : ling-long-lone,3 : ling-lung-lunk,3 : kina-mina-main,4 : ping-pint-pent-peat,2 : kink-mink,4 : ling-linn-lion-loon,3 : ting-tins-tens,3 : sing-song-sone,5 : ding-dong-gong-gone-gore,4 : ding-dang-dank-dark,4 : ping-pang-pane-pean,3 : ping-pine-pile,2 : ping-pine,4 : sing-sung-snug-slug,2 : ping-pong,2 : ping-pong,4 : ping-pong-pond-pood,5 : ding-dung-dunt-duit-quit,3 : kina-kain-rain,2 : kina-kain,1 : ring,4 : ring-rind-rend-read,3 : ring-rink-rick,4 : ding-dong-done-dose,2 : sing-sang,4 : ling-lang-lane-lase,3 : ping-pins-snip,4 : sing-song-snog-shog,3 : sing-song-snog,3 : sing-sink-sick,1 : sing,4 : sing-sang-snag-stag,2 : ting-tang,2 : ting-tine,4 : ting-tine-tyne-tyee,3 : kine-vine-vane,4 : wing-wind-wild-will,4 : wing-wind-wand-ward,3 : wing-wine-wane,4 : wing-wind-wend-weld,1 : wing,4 : wing-wind-wild-wold,4 : ping-pong-pond-pood,4 : ring-rang-gran-gray,3 : kina-kain-karn,5 : kine-cine-cone-core-cero,
leaf, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3 : lead-lade-lame,3 : loaf-loof-loon,3 : loaf-loof-look,3 : lead-lade-lode,4 : loaf-loof-look-lock,3 : lear-liar-rail,2 : lead-mead,4 : lead-mead-meld-mild,3 : loaf-loof-loon,3 : leap-neap-neat,3 : leas-lase-lose,4 : alef-alee-agee-ogee,3 : leak-peak-perk,1 : leak,3 : leal-peal-pial,3 : leap-pale-pile,4 : leas-legs-lugs-slug,3 : lead-lend-pend,4 : lead-lend-pend-pond,3 : loaf-loof-poof,5 : deaf-dead-duad-quad-quid,2 : lear-liar,3 : lear-liar-rail,4 : lead-read-rend-rind,2 : loaf-load,4 : loaf-loof-roof-rook,3 : lear-sear-rase,3 : lead-lend-send,1 : leal,5 : leal-seal-seam-sham-shim,4 : leas-lase-lose-hose,4 : loaf-loan-lown-sown,4 : loaf-loof-look-sook,4 : lean-lane-sane-sone,2 : lear-sear,3 : lean-lane-lank,4 : deaf-fade-fame-tame,3 : flea-flee-free,2 : leas-lase,3 : lead-dale-wale,3 : lear-wear-ware,3 : deaf-fade-wade,2 : leal-weal,3 : lead-lend-wend,3 : loaf-loof-woof,3 : loaf-loof-woof,4 : lead-bead-brad-bray,3 : lear-near-earn,4 : lead-head-herd-hero,
lime, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1 : limn,2 : lice-lick,1 : live,2 : lice-luce,1 : lima,2 : time-tame,1 : mile,3 : limn-lion-loon,4 : time-tame-meat-neat,3 : dime-dome-nome,3 : lire-lore-gore,4 : dime-dame-dare-pare,3 : lame-lake-leak,2 : mile-pile,2 : rime-ripe,3 : limp-lump-plum,3 : line-pine-pone,3 : line-pine-pone,3 : limo-moil-mool,5 : time-emit-smit-suit-quit,2 : lire-lira,3 : lire-lira-rail,2 : line-ling,4 : dime-dame-dare-read,3 : rime-rice-rick,2 : rime-rise,3 : lame-same-sane,2 : lame-lase,3 : limp-lisp-slip,4 : dime-dome-home-hose,4 : line-wine-wins-wons,3 : lice-sice-sick,3 : line-sine-sone,4 : rime-rise-rase-sear,3 : lame-lane-lank,1 : time,3 : rime-rite-rete,2 : lame-lase,3 : lame-wame-wale,3 : lame-wame-ware,2 : lame-wame,3 : lame-meal-weal,2 : line-wine,4 : rime-rile-role-rolf,4 : lire-wire-wore-word,5 : time-tame-team-tram-tray,4 : dime-dame-dare-yare,4 : lire-cire-cere-cero,
lion, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2 : loon-look,3 : loon-lorn-lore,3 : loon-look-lock,2 : limn-lima,4 : pion-peon-pean-mean,3 : limn-lime-mile,1 : loon,4 : loon-loot-lost-lest,3 : pion-peon-nope,4 : loon-lorn-lore-gore,4 : pion-poon-porn-pork,3 : pion-peon-pean,3 : pion-pian-pial,3 : lien-line-pine,4 : limn-limp-lump-plum,3 : pion-peon-pone,3 : cion-coni-cony,2 : pion-poon,5 : loin-lain-rain-ruin-quin,2 : noil-roil,2 : loin-lain,2 : linn-ling,3 : loon-loan-roan,3 : loon-look-rook,4 : pion-peon-pone-pose,4 : lien-line-sine-sane,4 : pion-peon-pean-peal,4 : cion-chon-chin-shin,4 : cion-chon-chop-shop,3 : loon-soon-sown,3 : loon-soon-sook,3 : linn-ling-sing,5 : pion-peon-pean-pear-sear,3 : linn-link-lank,2 : limn-lime,5 : pion-peon-peen-peer-pree,4 : lien-lies-vies-vise,3 : noil-nail-wail,4 : loon-lorn-worn-warn,4 : lien-line-wine-wane,4 : lien-lied-deli-dell,2 : lino-wino,3 : loon-loof-woof,3 : pion-poon-pood,5 : pion-pian-plan-play-pray,4 : cion-coon-corn-carn,5 : cion-coon-corn-core-cero,
lock, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3 : lack-lace-lave,1 : luck,3 : loci-coil-moil,4 : bock-beck-beak-beat,2 : mock-mick,2 : look-loon,4 : look-loot-lost-lest,4 : bock-bonk-bone-none,4 : cock-cork-core-gore,2 : pock-pack,2 : pock-peck,4 : mock-mick-milk-mill,3 : pock-pick-pice,5 : sock-souk-sour-slur-slug,3 : bock-bonk-bond,3 : bock-bonk-bony,2 : look-loop,5 : dock-duck-duct-duit-quit,3 : lack-lark-lari,4 : pock-pack-paik-pain,3 : rock-rick-rink,3 : rock-rook-rood,1 : rock,3 : rock-rocs-roes,3 : sock-sack-sank,3 : lack-lace-lase,5 : bock-bosk-bosh-posh-pish,4 : dock-docs-does-hoes,4 : bock-bonk-wonk-wons,1 : sock,3 : bock-bonk-bong,3 : sock-soak-soar,2 : lack-tack,3 : lick-lice-lime,5 : dock-dork-dore-dere-dree,3 : lack-lace-lase,3 : lack-wack-walk,3 : lack-wack-wark,3 : lack-lace-lave,4 : yock-yolk-yelk-yell,3 : lick-wick-wink,3 : look-loof-woof,3 : hock-hook-hood,5 : lack-lark-lard-yard-dray,4 : bock-back-bark-barn,4 : cock-cork-core-cero,
love, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3 : lave-lace-luce,3 : live-lime-lima,3 : move-mote-mate,3 : move-mole-mile,3 : move-more-morn,3 : lose-lost-lest,1 : lose,2 : loge-ogle,3 : lave-pave-pare,3 : lave-lake-leak,3 : live-vile-pile,2 : lope-pope,4 : loge-luge-lugs-slug,2 : lone-pone,2 : lone-pone,3 : lope-pole-poll,6 : dove-dole-dolt-doit-duit-quit,3 : live-lire-lira,4 : live-lire-lira-rail,3 : live-line-ling,3 : lore-lord-load,3 : cove-core-cork,1 : rove,3 : lave-save-sane,2 : lave-lase,4 : hove-hope-hops-hips,2 : hove-hose,3 : lone-enol-enow,4 : cove-cone-conk-cock,2 : lone-sone,4 : rove-rave-rase-sear,3 : lave-lane-lank,2 : live-lime,3 : rove-rote-rete,2 : lave-save,3 : wove-wave-wale,3 : wove-wave-ware,1 : wove,3 : lave-veal-weal,3 : wove-wive-wine,3 : rove-role-rolf,3 : wove-wore-word,5 : lave-fave-fare-frae-fray,3 : lore-yore-yare,3 : cove-core-cero,
luck, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4 : huck-hack-haik-hail,4 : buck-beck-beak-beat,2 : muck-mick,3 : lock-look-loon,4 : buck-busk-bust-best,4 : ruck-rusk-ruse-rose,4 : lurk-lure-lore-gore,2 : puck-pack,2 : puck-peck,4 : buck-bulk-bilk-bill,3 : puck-pick-pice,4 : luce-luge-lugs-slug,4 : buck-bock-bonk-bond,3 : puck-punk-puny,3 : lock-look-loop,4 : duck-duct-duit-quit,3 : lack-lark-lari,4 : puck-pack-paik-pain,3 : ruck-rick-rink,4 : ruck-rock-rook-rood,1 : ruck,3 : ruck-rusk-ruse,3 : suck-sack-sank,3 : lack-lace-lase,5 : buck-busk-bush-push-pish,4 : luce-clue-slue-sloe,5 : buck-bock-bonk-wonk-wons,1 : suck,3 : suck-sunk-sung,4 : suck-sock-soak-soar,2 : tuck-tack,3 : lick-lice-lime,5 : duck-duce-dure-dere-dree,3 : lack-lace-lase,3 : lack-wack-walk,3 : lack-wack-wark,3 : lack-lace-lave,4 : buck-bulk-bull-bell,3 : lick-wick-wink,4 : lock-look-loof-woof,4 : huck-hock-hook-hood,5 : lack-lark-lard-yard-dray,4 : buck-back-bark-barn,4 : muck-murk-merk-zerk,
mail, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3 : mall-mell-meal,2 : moil-milo,2 : moil-mool,4 : bail-bait-bast-best,4 : nail-noil-noel-noes,4 : marl-mare-more-gore,2 : pail-paik,3 : pail-pial-peal,2 : pail-pall,4 : fail-fila-file-pile,3 : maul-alum-plum,4 : moil-mool-pool-pood,4 : pail-pall-poll-poly,2 : moil-mool,3 : maid-qaid-quid,1 : rail,1 : rail,3 : main-gain-grin,4 : rail-rial-real-read,4 : hail-haik-hack-rack,4 : rail-roil-roll-role,2 : sail-said,2 : sail-sial,3 : sail-sain-shin,5 : hail-hall-hale-hole-hose,4 : sail-sain-sawn-sown,4 : hail-haik-hack-sack,4 : sail-said-sand-sang,3 : marl-mars-tars,3 : hail-haik-hank,2 : lima-lime,5 : bail-bait-brit-brie-bree,3 : mall-male-vale,1 : wail,3 : fail-farl-farm,3 : wail-wall-wale,2 : wail-wall,3 : main-mina-mind,3 : fail-foil-fowl,3 : moil-mool-wool,4 : marl-mart-tram-tray,3 : kail-kain-karn,4 : hail-heil-herl-hero,
meat, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2 : melt-milt,2 : moat-moot,1 : neat,3 : mean-name-nome,4 : moat-mort-more-gore,3 : peat-prat-part,1 : peat,3 : peat-peal-pial,4 : neat-neap-pane-pine,4 : seat-slat-slut-slug,3 : peat-pent-pend,4 : neat-neap-pane-pone,3 : moat-moot-mool,5 : seat-shat-shit-suit-quit,3 : meal-real-rial,4 : neat-ante-anti-tain,4 : peat-pent-pint-ping,2 : mead-read,4 : beat-beak-beck-reck,3 : seat-sear-rase,3 : seat-sent-send,1 : seat,3 : seat-shat-shit,3 : seat-shat-shot,4 : neat-newt-nowt-nows,4 : beat-beak-beck-bock,4 : seat-sent-sene-sone,2 : seat-stat,3 : seat-skat-task,1 : tame,3 : heat-thae-thee,3 : beat-bate-base,3 : melt-welt-well,3 : mate-mare-ware,2 : tame-wame,2 : melt-welt,3 : mead-mend-wend,4 : feat-flat-flaw-flow,3 : moat-moot-mood,3 : beat-brat-bray,3 : neat-near-earn,4 : heat-head-herd-hero,
milk, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3 : mink-monk-mono,4 : silk-silt-list-lest,4 : silk-sink-sine-sone,4 : mirk-mire-more-gore,2 : mirk-mark,3 : mick-pick-peck,1 : mill,2 : mile-pile,4 : mill-gill-gull-gulp,4 : mink-fink-find-fond,3 : mink-pink-piny,3 : mill-pill-poll,5 : silk-silt-slit-suit-quit,3 : mill-rill-rial,3 : mink-mina-main,2 : mink-rink,4 : mild-gild-gold-goad,2 : mick-rick,3 : mile-rile-role,3 : silk-sink-sank,3 : silk-sill-sell,3 : mils-slim-shim,4 : mile-mole-hole-hose,4 : mink-wink-wonk-wons,2 : silk-sick,3 : silk-sink-sing,4 : mirk-mark-mars-tars,3 : bilk-balk-talk,2 : mile-tile,4 : mile-rile-rite-rete,3 : mile-vile-vale,2 : mill-will,3 : mirk-mark-wark,3 : mile-wile-wale,2 : mill-will,2 : mink-wink,3 : mild-wild-wold,3 : mild-wild-wold,5 : mirk-mark-mart-tram-tray,4 : bilk-balk-bark-barn,3 : mirk-merk-zerk,
moon, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4 : loon-loot-lost-lest,3 : noon-neon-none,3 : morn-more-gore,3 : poon-porn-pork,3 : poon-peon-pean,3 : poon-pool-poll,4 : poon-peon-pein-pine,5 : coon-clon-clog-slog-slug,2 : poon-pood,2 : mono-mony,1 : poon,6 : coon-coin-cain-rain-ruin-quin,3 : mool-moil-roil,3 : coon-coin-cain,4 : loon-lion-linn-ling,2 : moan-roan,3 : boon-book-rook,3 : soon-sorn-sore,4 : soon-sorn-sord-sard,3 : moan-mean-meal,4 : coon-chon-chin-shin,3 : soon-soot-shot,2 : soon-sown,2 : soon-sook,3 : moos-mogs-nogs,4 : boon-boor-boar-soar,4 : boon-book-bonk-bank,4 : loon-lion-limn-lime,4 : toon-toot-trot-tret,4 : moan-mean-mane-vane,3 : mool-moll-mall,3 : morn-worn-warn,4 : moan-mean-wean-wane,3 : mool-moll-mell,4 : loon-lion-lino-wino,3 : coon-coof-woof,1 : mood,5 : boon-born-barn-bran-bray,3 : boon-born-barn,4 : coon-corn-core-cero,
nest, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3 : hest-host-hose,5 : gest-gent-gene-gone-gore,3 : pest-past-part,2 : pest-peat,4 : best-belt-bell-bill,4 : pest-post-pose-pope,4 : lest-lust-slut-slug,3 : pest-pent-pend,3 : pest-post-posy,4 : lest-lost-loot-loop,5 : best-bust-dust-duit-quit,4 : best-bast-bait-bail,4 : gest-gast-gait-gain,3 : tens-tins-rins,4 : best-beat-bead-read,4 : rest-rust-rusk-ruck,3 : hest-host-hose,2 : sent-send,2 : neat-seat,3 : hest-hist-shit,3 : hest-host-hose,3 : west-wost-stow,5 : best-bast-cast-cask-sack,3 : sent-sene-sone,3 : best-bast-stab,2 : tens-tans,3 : neat-meat-tame,3 : rest-reft-tref,2 : vest-vast,3 : west-welt-well,3 : west-wast-wart,4 : hest-heat-hate-have,2 : west-welt,3 : west-went-wend,4 : west-welt-weld-wold,4 : hest-host-hoot-hood,4 : best-beat-brat-bray,3 : neat-near-earn,4 : hest-hets-hers-hero,
nose, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3 : dose-dore-gore,3 : pose-pase-pare,3 : pose-pase-peas,3 : pose-pole-pile,2 : pose-pope,4 : lose-sloe-slue-slug,2 : pose-pone,2 : pose-pone,3 : pose-pole-poll,5 : dose-dost-dust-duit-quit,4 : lose-lore-lire-lira,4 : rose-rise-reis-rein,3 : sone-sine-sing,4 : dose-dore-dare-read,3 : rose-roes-rocs,1 : rose,2 : sone-sane,2 : lose-lase,3 : hose-shoe-shop,1 : hose,2 : noes-nows,4 : dose-dore-dork-dock,1 : sone,3 : rose-rase-sear,3 : sone-sane-sank,2 : nome-tome,3 : rose-rote-rete,2 : lose-lase,4 : dose-dole-dale-wale,4 : dose-dore-wore-ware,3 : dose-dove-wove,4 : dose-dole-dele-dell,3 : none-nine-wine,3 : rose-role-rolf,3 : noes-woes-woos,5 : dose-dost-doat-drat-dray,4 : dose-dore-yore-yare,4 : dose-dore-core-cero,
ogre, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3 : gore-pore-pare,4 : gore-pore-pare-pear,4 : gore-pore-pole-pile,3 : gore-pore-pope,5 : ogle-loge-luge-lugs-slug,3 : gore-pore-pone,3 : gore-pore-pone,4 : gore-pore-pole-poll,7 : gore-core-care-card-caid-qaid-quid,4 : gore-lore-lire-lira,5 : gore-core-care-carn-cain,5 : ogle-loge-lone-line-ling,4 : gore-dore-dare-read,3 : gore-core-cork,2 : gore-sore,4 : gore-sore-sone-sane,4 : ogee-agee-alee-ales,5 : gore-pore-pose-posh-pish,3 : goer-hoer-hoes,4 : gore-sore-sorn-sown,4 : gore-core-cork-cock,3 : gore-sore-sone,4 : gore-sore-sora-soar,5 : ogle-loge-lone-lane-lank,3 : gore-tore-tire,4 : ogee-agee-awee-twee,4 : ogee-agee-ages-aves,4 : gore-wore-ware-wale,3 : gore-wore-ware,3 : gore-wore-ware,5 : gore-bore-bole-boll-bell,4 : gore-wore-wire-wine,4 : ogle-orle-role-rolf,3 : gore-wore-word,4 : gore-gyre-grey-gray,3 : gore-yore-yare,3 : gore-core-cero,
park, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1 : perk,3 : paik-pail-pall,3 : perk-peri-ripe,4 : pars-purs-puls-plus,3 : pork-pore-pone,3 : pork-pore-pone,3 : pork-porn-poon,4 : paik-paid-qaid-quid,2 : lark-lari,2 : paik-pain,3 : nark-rank-rink,3 : dark-dare-read,2 : cark-cork,3 : pork-pore-sore,2 : sark-sank,3 : perk-peak-peal,4 : paik-pain-sain-shin,4 : pork-pore-pose-hose,4 : wark-work-wonk-wons,2 : sark-sack,3 : sark-sank-sang,2 : pars-tars,2 : bark-bank,3 : pare-tare-tire,4 : bark-bare-brae-bree,2 : pare-pase,2 : wark-walk,1 : wark,2 : wark-ware,3 : wark-walk-wall,3 : wark-ward-wand,4 : wark-work-word-wold,3 : wark-work-word,3 : pard-yard-dray,2 : bark-barn,2 : perk-zerk,
peak, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2 : peal-pial,3 : peck-pick-pice,5 : leak-leas-legs-lugs-slug,3 : peek-peed-pend,3 : pean-peon-pone,3 : pean-peon-poon,5 : pean-pein-rein-ruin-quin,3 : leak-lear-liar,3 : pean-pian-pain,4 : peck-reck-rick-rink,3 : beak-bead-read,2 : peck-reck,3 : pear-sear-rase,3 : pean-pane-sane,1 : peal,4 : peas-pias-pins-snip,4 : peas-pase-pose-hose,4 : peas-pens-wens-wons,2 : peck-pock,4 : pean-peon-pone-sone,2 : pear-sear,3 : peck-pack-tack,3 : teak-team-tame,3 : peek-peer-pree,2 : peas-pase,3 : leak-kale-wale,3 : weak-wear-ware,2 : weak-wake,2 : weak-weal,4 : beak-bead-bend-wend,4 : peal-feal-foal-fowl,4 : leak-lead-load-woad,3 : peat-prat-pray,3 : pear-near-earn,2 : perk-zerk,
pill, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1 : pile,3 : gill-gull-gulp,3 : poll-pool-pood,2 : poll-poly,1 : poll,5 : dill-dial-laid-qaid-quid,2 : rill-rial,3 : rill-rial-rail,3 : gill-girl-girn,4 : gill-gild-gold-goad,4 : mill-milk-mick-rick,3 : rill-roll-role,4 : bill-ball-bald-band,2 : sill-sell,4 : hill-hilt-hist-shit,4 : poll-pole-hole-hose,4 : poll-pols-pons-wons,3 : sill-silk-sick,4 : sill-silk-sink-sing,4 : sill-sell-seal-sear,3 : till-tall-talk,2 : till-tile,4 : rill-rile-rite-rete,3 : vill-vile-vale,1 : will,4 : bill-ball-balm-barm,3 : will-wall-wale,1 : will,2 : will-wild,3 : rill-roll-rolf,3 : will-wild-wold,4 : pall-paly-play-pray,4 : kill-kiln-kirn-karn,4 : hill-hell-herl-hero,
pipe, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4 : pile-pule-pulp-gulp,2 : pope-pone,2 : pope-pone,3 : pope-pole-poll,5 : pine-pein-rein-ruin-quin,4 : ripe-rile-rill-rial,3 : pine-pina-pain,2 : pine-ping,4 : ripe-rape-reap-read,3 : ripe-rice-rick,2 : ripe-rope,3 : sipe-sine-sane,3 : pile-pale-sale,2 : pips-hips,3 : pope-hope-hose,4 : wipe-wine-wins-wons,3 : sipe-sice-sick,3 : sipe-sine-sone,4 : ripe-rape-rase-sear,4 : sipe-sine-sane-sank,2 : ripe-rime,3 : ripe-rite-rete,3 : ripe-rape-vape,3 : wipe-wile-wale,3 : wipe-wire-ware,2 : wipe-wive,3 : wipe-wile-will,2 : wipe-wine,4 : ripe-rope-role-rolf,4 : wipe-wile-wild-wold,5 : ripe-rape-rapt-prat-pray,4 : ripe-rape-rare-yare,4 : ripe-peri-perk-zerk,
plug, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4 : plus-puls-pols-pons,4 : plus-puls-pols-pons,4 : plus-puls-pols-poll,5 : slug-slut-slit-suit-quit,4 : plum-alum-maul-mail,5 : glug-gleg-glen-gaen-gain,4 : slug-snug-sung-rung,5 : glug-gleg-gled-glad-goad,5 : slug-slur-sour-souk-sock,4 : slug-slog-sloe-lose,4 : slug-snug-snag-sang,4 : slug-slag-slam-seam,4 : slug-slag-slap-slip,3 : slug-slog-shog,3 : slug-snug-snog,4 : slug-slur-sour-souk,3 : slug-snug-snog,3 : slug-slag-stag,5 : slug-snug-snag-sang-tang,4 : plum-lump-limp-lime,4 : glug-gleg-glee-gree,5 : slug-slag-stag-gast-vast,3 : gulp-gull-gall,5 : slug-slag-swag-wags-wars,5 : slug-slag-swag-wags-wage,4 : gulp-gull-bull-bell,5 : slug-snug-sung-sing-wing,3 : gulp-gulf-golf,5 : slug-slog-logs-wogs-woos,5 : glug-gleg-gley-grey-gray,6 : glug-glum-gaum-gaud-yaud-yard,6 : glug-glum-geum-germ-herm-hero,
pond, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1 : pony,1 : pood,6 : bond-band-land-laid-qaid-quid,4 : bond-band-rand-raid,4 : bond-band-rand-raid,2 : pong-ping,2 : pood-rood,3 : bond-bonk-bock,2 : pone-pose,2 : bond-band,4 : pend-lend-lead-leal,3 : pons-pins-snip,3 : pone-hone-hose,2 : pons-wons,3 : bond-bonk-bock,1 : pong,4 : pons-tons-tans-tars,3 : bond-band-bank,3 : pone-tone-tine,4 : pend-rend-reed-dree,3 : pone-pane-vane,4 : bond-band-bald-ball,4 : bond-band-wand-ward,3 : pone-pane-wane,3 : pend-wend-weld,2 : bond-bind,3 : bond-bold-wold,1 : pood,5 : bond-band-bard-yard-dray,4 : bond-band-rand-darn,4 : pone-cone-core-cero,
pony, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2 : poly-poll,5 : puny-punt-dunt-duit-quit,4 : piny-pina-pain-rain,3 : piny-pina-pain,2 : piny-ping,3 : pond-pood-rood,3 : bony-bonk-bock,2 : posy-rosy,3 : bony-bond-band,4 : poly-paly-pale-sale,3 : piny-pins-snip,3 : posy-pose-hose,2 : pons-wons,3 : bony-bonk-bock,1 : pong,4 : tony-tory-tors-tars,3 : bony-bonk-bank,3 : tony-tiny-tine,4 : tony-tory-troy-trey,3 : posy-pose-pase,3 : poly-paly-waly,4 : cony-cory-corm-worm,3 : pone-pane-wane,4 : mony-moly-moll-mell,2 : piny-winy,4 : bony-bond-bold-wold,2 : pond-pood,4 : tony-tory-troy-tray,4 : cony-cory-corn-carn,4 : cony-cory-core-cero,
pool, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6 : mool-moil-mail-maid-qaid-quid,3 : cool-coil-roil,4 : cool-coil-roil-rail,4 : pood-pond-pong-ping,2 : pood-rood,3 : cool-cook-rook,3 : poll-roll-role,4 : pood-pond-bond-band,3 : fool-foal-feal,3 : pooh-posh-pish,3 : pooh-posh-shop,3 : wool-woos-wons,3 : cool-cook-sook,3 : pood-pond-pong,4 : poor-boor-boar-soar,4 : tool-toll-tall-talk,4 : mool-moil-limo-lime,4 : tool-toot-trot-tret,4 : poll-pall-pale-vale,2 : poll-pall,4 : wool-wood-word-ward,4 : poll-pall-wall-wale,3 : mool-moll-mell,4 : fool-food-fond-find,2 : fool-fowl,1 : wool,5 : tool-toot-trot-troy-tray,4 : cool-coon-corn-carn,5 : cool-coof-corf-core-cero,
quiz, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3 : quid-qaid-raid,2 : quin-ruin,4 : quid-guid-grid-grin,5 : quid-guid-grid-grad-orad,5 : quit-duit-duct-duck-ruck,5 : quin-ruin-rein-reis-rise,3 : quid-qaid-said,5 : quid-qaid-laid-dial-sial,3 : quit-suit-shit,4 : quit-suit-shit-shot,4 : quit-suit-snit-snot,5 : quit-duit-duct-duck-suck,5 : quid-qaid-said-sand-sang,5 : quit-suit-shit-shat-stat,5 : quid-qaid-laid-land-lank,4 : quit-suit-smit-emit,6 : quin-ruin-rein-reif-reef-free,6 : quid-qaid-caid-card-care-case,5 : quid-qaid-maid-mail-wail,5 : quid-qaid-caid-card-ward,6 : quid-qaid-caid-card-ward-ware,6 : quid-qaid-laid-dial-deal-weal,5 : quid-qaid-laid-land-wand,6 : quit-duit-doit-dolt-told-wold,6 : quid-guid-grid-grad-goad-woad,5 : quid-guid-grid-grad-gray,5 : quid-qaid-caid-card-yard,7 : quid-qaid-caid-card-hard-herd-hero,
rail, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1 : rain,3 : raid-rand-rind,3 : rial-real-read,4 : hail-haik-hack-rack,3 : roil-roll-role,2 : sail-said,2 : sail-sial,3 : sail-sain-shin,5 : hail-hall-hale-hole-hose,4 : sail-sain-sawn-sown,4 : hail-haik-hack-sack,4 : sail-said-sand-sang,3 : lari-lars-tars,3 : hail-haik-hank,3 : mail-lima-lime,4 : roil-rotl-rote-rete,4 : bail-ball-bale-vale,1 : wail,3 : fail-farl-farm,3 : wail-wall-wale,2 : wail-wall,3 : raid-rand-wand,3 : fail-foil-fowl,4 : fail-foil-fool-wool,4 : lari-lard-yard-dray,3 : kail-kain-karn,4 : hail-heil-herl-hero,
